0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
5359,A3517646A,Short Term Expected Expenditure ;  Victoria ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5360,A3517679W,Short Term Expected Expenditure ;  Victoria ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5361,A3517644W,Long Term Expected Expenditure ;  Victoria ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5362,A3517647C,Long Term Expected Expenditure ;  Victoria ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5363,A3517680F,Long Term Expected Expenditure ;  Victoria ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5364,A3515369C,Short Term Expected Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5365,A3515411W,"Short Term Expected Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5366,A3515453V,Short Term Expected Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5367,A3515370L,Long Term Expected Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5368,A3515412X,"Long Term Expected Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5369,A3515454W,Long Term Expected Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5370,A3515413A,Actual Expenditure ;  Queensland ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5371,A3515416J,Actual Expenditure ;  Queensland ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5372,A3515449C,Actual Expenditure ;  Queensland ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5373,A3515414C,Short Term Expected Expenditure ;  Queensland ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5374,A3515417K,Short Term Expected Expenditure ;  Queensland ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5375,A3515450L,Short Term Expected Expenditure ;  Queensland ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5376,A3515415F,Long Term Expected Expenditure ;  Queensland ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5377,A3515418L,Long Term Expected Expenditure ;  Queensland ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5378,A3515451R,Long Term Expected Expenditure ;  Queensland ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5379,A3516302C,Short Term Expected Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5380,A3516344A,"Short Term Expected Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5381,A3516386X,Short Term Expected Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5382,A3516303F,Long Term Expected Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5383,A3516345C,"Long Term Expected Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5384,A3516387A,Long Term Expected Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5385,A3516346F,Actual Expenditure ;  South Australia ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5386,A3516349L,Actual Expenditure ;  South Australia ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5387,A3516382R,Actual Expenditure ;  South Australia ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5388,A3516347J,Short Term Expected Expenditure ;  South Australia ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5389,A3516350W,Short Term Expected Expenditure ;  South Australia ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5390,A3516383T,Short Term Expected Expenditure ;  South Australia ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5391,A3516348K,Long Term Expected Expenditure ;  South Australia ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5392,A3516351X,Long Term Expected Expenditure ;  South Australia ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5393,A3516384V,Long Term Expected Expenditure ;  South Australia ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5394,A3516680L,Short Term Expected Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5395,A3516722X,"Short Term Expected Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5396,A3516764W,Short Term Expected Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5397,A3516681R,Long Term Expected Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5398,A3516723A,"Long Term Expected Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5399,A3516765X,Long Term Expected Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5400,A3516724C,Actual Expenditure ;  Western Australia ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5401,A3516727K,Actual Expenditure ;  Western Australia ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5402,A3516760L,Actual Expenditure ;  Western Australia ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5403,A3516725F,Short Term Expected Expenditure ;  Western Australia ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5404,A3516728L,Short Term Expected Expenditure ;  Western Australia ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5405,A3516761R,Short Term Expected Expenditure ;  Western Australia ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5406,A3516726J,Long Term Expected Expenditure ;  Western Australia ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5407,A3516729R,Long Term Expected Expenditure ;  Western Australia ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5408,A3516762T,Long Term Expected Expenditure ;  Western Australia ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5409,A3516143F,Short Term Expected Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5410,A3516185C,"Short Term Expected Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5411,A3511775L,Short Term Expected Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5412,A3516144J,Long Term Expected Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5413,A3516186F,"Long Term Expected Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5414,A3511776R,Long Term Expected Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5415,A3516187J,Actual Expenditure ;  Tasmania ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5416,A3516190W,Actual Expenditure ;  Tasmania ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5417,A3511771C,Actual Expenditure ;  Tasmania ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5418,A3516188K,Short Term Expected Expenditure ;  Tasmania ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5419,A3516191X,Short Term Expected Expenditure ;  Tasmania ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5420,A3511772F,Short Term Expected Expenditure ;  Tasmania ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5421,A3516189L,Long Term Expected Expenditure ;  Tasmania ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5422,A3516192A,Long Term Expected Expenditure ;  Tasmania ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5423,A3511773J,Long Term Expected Expenditure ;  Tasmania ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5424,A3518304V,Estimate 1: 12 months expectation as reported in Jan-Feb of previous financial year ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5425,A3518305W,Estimate 2: 12 months expectation as reported in Apr-May of previous financial year ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5426,A3518306X,Estimate 3: 12 months expectation as reported in Jul-Aug ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5427,A3518307A,Estimate 4: 3 months actual and 9 months expectation as reported in Oct-Nov ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5428,A3518308C,Estimate 5: 6 months actual and 6 months expectation as reported in Jan-Feb ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5429,A3518309F,Estimate 6: 9 months actual and 3 months expectation as reported in Apr-May ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5430,A3518310R,Estimate 7: 12 months actual ;  Mining ;  Buildings and Structures,$ Millions,Original,6
5431,A3518318J,"Estimate 1: 12 months expectation as reported in Jan-Feb of previous financial year ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5432,A3518319K,"Estimate 2: 12 months expectation as reported in Apr-May of previous financial year ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5433,A3518320V,"Estimate 3: 12 months expectation as reported in Jul-Aug ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5434,A3518321W,"Estimate 4: 3 months actual and 9 months expectation as reported in Oct-Nov ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5435,A3518322X,"Estimate 5: 6 months actual and 6 months expectation as reported in Jan-Feb ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5436,A3518323A,"Estimate 6: 9 months actual and 3 months expectation as reported in Apr-May ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5437,A3518324C,"Estimate 7: 12 months actual ;  Mining ;  Equipment, Plant and Machinery",$ Millions,Original,6
5438,A3518290T,Estimate 1: 12 months expectation as reported in Jan-Feb of previous financial year ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5439,A3518291V,Estimate 2: 12 months expectation as reported in Apr-May of previous financial year ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5440,A3518292W,Estimate 3: 12 months expectation as reported in Jul-Aug ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5441,A3518293X,Estimate 4: 3 months actual and 9 months expectation as reported in Oct-Nov ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5442,A3518294A,Estimate 5: 6 months actual and 6 months expectation as reported in Jan-Feb ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5443,A3518295C,Estimate 6: 9 months actual and 3 months expectation as reported in Apr-May ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5444,A3518296F,Estimate 7: 12 months actual ;  Mining ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5445,A3518346T,Estimate 1: 12 months expectation as reported in Jan-Feb of previous financial year ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5446,A3518347V,Estimate 2: 12 months expectation as reported in Apr-May of previous financial year ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5447,A3518348W,Estimate 3: 12 months expectation as reported in Jul-Aug ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5448,A3518349X,Estimate 4: 3 months actual and 9 months expectation as reported in Oct-Nov ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5449,A3518350J,Estimate 5: 6 months actual and 6 months expectation as reported in Jan-Feb ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5450,A3518351K,Estimate 6: 9 months actual and 3 months expectation as reported in Apr-May ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5451,A3518352L,Estimate 7: 12 months actual ;  Manufacturing ;  Buildings and Structures,$ Millions,Original,6
5452,A3518360L,"Estimate 1: 12 months expectation as reported in Jan-Feb of previous financial year ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5453,A3518361R,"Estimate 2: 12 months expectation as reported in Apr-May of previous financial year ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5454,A3518362T,"Estimate 3: 12 months expectation as reported in Jul-Aug ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5455,A3518363V,"Estimate 4: 3 months actual and 9 months expectation as reported in Oct-Nov ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5456,A3518364W,"Estimate 5: 6 months actual and 6 months expectation as reported in Jan-Feb ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5457,A3518365X,"Estimate 6: 9 months actual and 3 months expectation as reported in Apr-May ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5458,A3518366A,"Estimate 7: 12 months actual ;  Manufacturing ;  Equipment, Plant and Machinery",$ Millions,Original,6
5459,A3518332C,Estimate 1: 12 months expectation as reported in Jan-Feb of previous financial year ;  Manufacturing ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5460,A3518333F,Estimate 2: 12 months expectation as reported in Apr-May of previous financial year ;  Manufacturing ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5461,A3518334J,Estimate 3: 12 months expectation as reported in Jul-Aug ;  Manufacturing ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5462,A3518335K,Estimate 4: 3 months actual and 9 months expectation as reported in Oct-Nov ;  Manufacturing ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5463,A3518336L,Estimate 5: 6 months actual and 6 months expectation as reported in Jan-Feb ;  Manufacturing ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
5464,A3518337R,Estimate 6: 9 months actual and 3 months expectation as reported in Apr-May ;  Manufacturing ;  Total (Type of Asset - Detailed level),$ Millions,Original,6
